id,name,traitModifiers,slotPositions,maxQuantity,rarityScoreModifier
350,Pixelcraft Tee,"[1, 0, 0, 0, 0, 0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",1000,1
351,3D Glasses,"[0, 0, 0, 1, 0, 0]","[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",1000,1
352,Pixelcraft Square,"[0, 0, -1, 0, 0, 0]","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",1000,1
353,Nimbus,"[0, -1, 0, 0, 0, 0]","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False]",1000,1
354,Alchemica Apron,"[1, 0, 0, -1, 0, 0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",500,2
355,Safety Glasses,"[1, 2, 0, 0, 0, 0]","[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",250,5
356,Bandage,"[0, 0, 1, -1, 0, 0]","[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",500,2
357,Nail Gun,"[1, 0, 2, 0, 0, 0]","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",250,5
358,Flaming Apron,"[-2, -2, 0, 0, 0, 0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",100,10
359,Forge Goggles,"[-1, -3, 0, 0, 0, 0]","[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",100,10
360,Geode Smasher,"[0, 0, 2, 2, 0, 0]","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",100,10
361,Geo,"[0, -2, 2, 0, 0, 0]","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False]",100,10
362,FAKE Shirt,"[0, 0, -4, -1, 0, 0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",50,20
363,FAKE Beret,"[-3, 0, 0, -2, 0, 0]","[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",50,20
364,Paint Brush,"[-3, 0, -2, 0, 0, 0]","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",50,20
365,Paint Palette,"[0, 0, -1, -4, 0, 0]","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",50,20
