id,listingID,erc1155TypeId,priceInWei,quantity,timeLastPurchased
103077_0x3742f0fd8fce40411c450e74d270d4d5faaf92fd_1631535808,103077,12,700000000000000000000,1,1631535808
103077_0x47ea0ab486f9d00f16d9f248e3388586e061f7f8_1631130884,103077,12,700000000000000000000,1,1631130884
103077_0x8b9f39b3c76aab744bcee37cc56782bac8eb5ffb_1631494675,103077,12,700000000000000000000,1,1631494675
103077_0xcded41aed0080ff9a36e23864ca8161385ef5107_1630483387,103077,12,700000000000000000000,1,1630483387
103077_0xdf572e905e2730efdbfb8d11829571d3a516acd3_1631197645,103077,12,700000000000000000000,1,1631197645
103077_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1631449786,103077,12,700000000000000000000,1,1631449786
103077_0xee91345e3c0f668f7ed503b416ddb2d618e4e2c8_1631545689,103077,12,700000000000000000000,1,1631545689
103082_0x9ff84b91998df96a6587db8dde8d4e47518107d6_1632554835,103082,15,6000000000000000000000,1,1632554835
103082_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1631804379,103082,15,6000000000000000000000,1,1631804379
103162_0x174b079bb5aeb7a7ffa2a6407b906a844738428d_1632209757,103162,10,800000000000000000000,1,1632209757
103162_0x6fcf9d80e2b597f4b3fa764b5626f573a9fc93d3_1632846358,103162,10,800000000000000000000,1,1632846358
103258_0xb0c4cc1aa998df91d2c27ce06641261707a8c9c3_1632756901,103258,59,150000000000000000000,1,1632756901
103468_0x47ea0ab486f9d00f16d9f248e3388586e061f7f8_1630990829,103468,158,199000000000000000000,1,1630990829
103608_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632199605,103608,153,666000000000000000000,1,1632199605
104570_0x6afbe7482cf93d7f4e0dca2eb6a86ceb3bbad3c5_1631914242,104570,7,125000000000000000000,1,1631914242
105629_0x7419acdbc0f58e8bc449bc180736cd41153e2a4a_1631240784,105629,59,95000000000000000000,1,1631240784
105630_0x9ff84b91998df96a6587db8dde8d4e47518107d6_1632685894,105630,56,95000000000000000000,1,1632685894
107170_0x25d5c9dbc1e12163b973261a08739927e4f72ba8_1630527918,107170,10,600000000000000000000,1,1630527918
107175_0x830437c8d234c61ae6bffbc11f2b885e6e934554_1631428235,107175,59,99000000000000000000,1,1631428235
11528_0x6a0132b33eb56f760d705a0fa947267304551719_1630514424,11528,101,425000000000000000000,1,1630514424
116100_0x5e8256a68e28655d9b421e94a0df3c292b6248bd_1631192113,116100,38,15000000000000000000,1,1631192113
116433_0xa915023b3ed1e00e078789e63de079b4d6dcc348_1631591066,116433,123,50000000000000000000,1,1631591066
116793_0xf6ed8b6790d5eee91facf2d317941938439159d4_1632653236,116793,110,350000000000000000000,1,1632653236
117290_0x989923d33be0612680064dc7223a9f292c89a538_1631049653,117290,94,30000000000000000000,1,1631049653
117820_0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd_1630695229,117820,78,18900000000000000000,1,1630695229
117823_0x3ba960aeb77b01476cfef7838b40aa9016b0e3c5_1630859269,117823,94,28800000000000000000,1,1630859269
117827_0xcbf7d1c2012629e4689f6c2ca10c4e3a7ce1a75c_1632996142,117827,95,19900000000000000000,1,1632996142
118225_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1630773426,118225,94,25000000000000000000,1,1630773426
118225_0xeda29227543b2bc0d8e4a5220ef0a34868033a2d_1630783348,118225,94,25000000000000000000,1,1630783348
118826_0x6c32ae11056885ee17a57eea1ca0a1d1387585b1_1632752896,118826,94,30000000000000000000,1,1632752896
118826_0xb134b47d7d4a1aff3a99523b5fd29929ae46e613_1631140185,118826,94,30000000000000000000,1,1631140185
11965_0x56a356c378c5fa08dfd32ee4ca0dce93f328ba37_1630540106,11965,97,550000000000000000000,1,1630540106
119824_0x94a0321182f95b4b54537a6dd78df5750df3513c_1632497824,119824,96,59000000000000000000,1,1632497824
123295_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1630476064,123295,92,239000000000000000000,1,1630476064
124674_0x001daa61eaa241a8d89607194fc3b1184dcb9b4c_1630620890,124674,79,199000000000000000000,1,1630620890
124675_0x18bfff508960710fee296502de84667c7f4e88cf_1630533296,124675,136,100000000000000000000,1,1630533296
124754_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632835407,124754,57,344000000000000000000,1,1632835407
124755_0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec_1632993151,124755,55,697000000000000000000,1,1632993151
124826_0x39292e0157ef646cc9ea65dc48f8f91cae009eae_1631440648,124826,41,45000000000000000000,1,1631440648
124826_0x56babdca2fba5c5832a02f282816f82aff785c44_1631425729,124826,41,45000000000000000000,1,1631425729
124830_0x865add835bdff6d817a23062b1a700cd8896dea0_1630891605,124830,91,18000000000000000000,1,1630891605
124833_0x5f3b8034b8bc5715ddbc6aba5fceb99b3e223e9c_1632056229,124833,158,250000000000000000000,1,1632056229
125261_0xf815a566e42b0d8ddd5d77f91409a7d9ceb10b92_1632240194,125261,40,124000000000000000000,1,1632240194
125346_0x7e9607e65b6402992524e2a1ff8fac63f406e4f0_1631217966,125346,18,40000000000000000000,1,1631217966
125616_0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1_1631451884,125616,110,234000000000000000000,1,1631451884
126140_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1631314256,126140,58,400000000000000000000,1,1631314256
126145_0x3c6d73475d8a64cec5b5170853ab38ccf51eb130_1630492379,126145,151,79000000000000000000,1,1630492379
126589_0xa7f1c77998bae58614be010ad2a806639e280056_1632830919,126589,64,42690000000000000000,1,1632830919
127408_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1630950996,127408,204,38000000000000000000,1,1630950996
127434_0x8af4277c5e84158494e2ee4cdef463f87abdae4c_1633029594,127434,204,60000000000000000000,1,1633029594
127437_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1632993405,127437,204,45000000000000000000,1,1632993405
127548_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1630950856,127548,204,35000000000000000000,1,1630950856
127555_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1632993433,127555,204,50000000000000000000,1,1632993433
127719_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1632993415,127719,204,46000000000000000000,1,1632993415
127804_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1632993419,127804,204,49000000000000000000,1,1632993419
127847_0x8af4277c5e84158494e2ee4cdef463f87abdae4c_1633029706,127847,204,65000000000000000000,1,1633029706
128314_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1632993517,128314,204,49000000000000000000,1,1632993517
128468_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1630950766,128468,204,33000000000000000000,1,1630950766
129242_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1632993183,129242,204,44000000000000000000,1,1632993183
129461_0x8560f3aa7c2522bfeabca88bb8f5f55efe9611fe_1631016832,129461,139,100000000000000000000,1,1631016832
129575_0xaea6e95efcf6770d04bc44d398c502b80f51015f_1632537357,129575,96,59000000000000000000,1,1632537357
131335_0x6701dc817396c99e40e31f2724ea966e2832492c_1633041948,131335,96,68000000000000000000,1,1633041948
131499_0xa7f1c77998bae58614be010ad2a806639e280056_1630923558,131499,36,18000000000000000000,1,1630923558
131529_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1630582545,131529,61,800000000000000000000,1,1630582545
131538_0xa7f1c77998bae58614be010ad2a806639e280056_1631037544,131538,139,100000000000000000000,1,1631037544
131539_0xb4a97595ad4f5535830d1f1d979cf0aec2ec27f6_1632829492,131539,68,10000000000000000000,1,1632829492
131694_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632835151,131694,57,310000000000000000000,1,1632835151
131892_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1631201278,131892,69,20000000000000000000,1,1631201278
132326_0x9ff84b91998df96a6587db8dde8d4e47518107d6_1632969790,132326,44,280000000000000000000,5,1632969790
132336_0xf815a566e42b0d8ddd5d77f91409a7d9ceb10b92_1632240176,132336,40,110000000000000000000,1,1632240176
132336_0xf815a566e42b0d8ddd5d77f91409a7d9ceb10b92_1632240268,132336,40,110000000000000000000,28,1632240268
132490_0xaede4bf4ca6b456cc23a18bf01acf66ce678d4db_1631996333,132490,11,777000000000000000000,1,1631996333
132496_0xaede4bf4ca6b456cc23a18bf01acf66ce678d4db_1631996465,132496,10,777000000000000000000,1,1631996465
132498_0xf815a566e42b0d8ddd5d77f91409a7d9ceb10b92_1632240388,132498,40,177000000000000000000,1,1632240388
133043_0x26cf02f892b04af4cf350539ce2c77fcf79ec172_1632229114,133043,56,92990000000000000000,1,1632229114
133129_0xdc6953c238c4ffff57d7c16ac32bc716f7074e3a_1632847238,133129,4,20000000000000000000,1,1632847238
133807_0x56876f3f31582d65a9b99f22a7c2c84f0ccca723_1630967756,133807,95,15000000000000000000,1,1630967756
133836_0x27861e390d45715fb8c2498cb66800019cf2dbe5_1632799409,133836,199,349000000000000000000,1,1632799409
134039_0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd_1630974581,134039,116,270000000000000000000,1,1630974581
134672_0x29746c9d6b317c6df26ac1751d6cb03a55c1b8d5_1630492219,134672,202,9500000000000000000000,1,1630492219
134680_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632975679,134680,44,284000000000000000000,1,1632975679
135221_0xf815a566e42b0d8ddd5d77f91409a7d9ceb10b92_1632240186,135221,40,110000000000000000000,1,1632240186
135331_0x56babdca2fba5c5832a02f282816f82aff785c44_1632865788,135331,199,380000000000000000000,1,1632865788
136181_0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1_1631454034,136181,7,100000000000000000000,1,1631454034
136706_0x1f6badb8cfe26ae190b3808d3ce04a136a51af38_1631397397,136706,110,200000000000000000000,1,1631397397
136708_0x2d4888499d765d387f9cbc48061b28cde6bc2601_1630726786,136708,79,200000000000000000000,1,1630726786
137258_0xa1a7ae2f202c5762f3c4ee2fed99e3f42c6f1f1f_1631817117,137258,8,120000000000000000000,1,1631817117
137436_0xba363b223e2d2b1b2a9017bac58a0a2b8137fb9a_1630708998,137436,79,199000000000000000000,1,1630708998
137444_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1630476148,137444,121,199000000000000000000,1,1630476148
137447_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1630476334,137447,121,198000000000000000000,1,1630476334
137449_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1630476362,137449,121,199000000000000000000,1,1630476362
137450_0x5551fa79f15ca4592a3950372fd3d4ee8be7b5cc_1630650164,137450,157,195000000000000000000,1,1630650164
137493_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632785058,137493,199,330000000000000000000,3,1632785058
137504_0x60d38778adbbeeac88f741b833cbb9877228eea0_1630495452,137504,134,9000000000000000000,2,1630495452
137504_0x77f9e6516d6f677d6e30fd165afcf3a802d33006_1630503508,137504,134,9000000000000000000,1,1630503508
137504_0xb006350d11a637378aab6a785a2fbc0ee3469f93_1630489751,137504,134,9000000000000000000,1,1630489751
137781_0x0a9a893ed9e173b3298c8022e959ec6691673145_1632433956,137781,96,58000000000000000000,1,1632433956
